,inicial_mat,inicial_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_1a4,matri/prof,matri/salas,com_escola_1,com_escola_2,rural,alimentacao_rural
112,221.81,218.66,1,0,1,1,1,1,1,1,0,1. Urbana,172.0,0.0,0.0,21,110,0.0,0.0,0.0,7,4,0,0
113,225.9,212.72,0,0,1,1,0,1,1,1,1,1. Urbana,48.0,0.0,0.0,14,69,0.0,0.0,0.0,5,3,0,0
114,228.72,223.1,1,0,1,1,0,0,1,1,0,2. Rural,36.0,0.0,0.0,7,26,0.0,0.0,0.0,5,4,1,1
115,198.94,194.68,0,0,0,1,0,0,1,1,0,2. Rural,45.0,0.0,0.0,10,25,0.0,0.0,0.0,3,2,1,1
116,247.23,235.51,0,0,0,1,0,0,1,1,0,2. Rural,34.0,0.0,0.0,7,24,0.0,0.0,0.0,3,2,1,1
117,226.75,208.06,0,0,1,1,1,0,1,1,1,2. Rural,32.0,0.0,0.0,8,33,0.0,0.0,0.0,5,3,1,1
118,214.49,198.61,1,0,0,1,1,0,1,1,1,1. Urbana,34.0,0.0,0.0,11,49,0.0,0.0,0.0,5,3,0,0
119,228.91,208.77,1,0,1,1,1,0,1,1,0,1. Urbana,36.0,0.0,0.0,9,37,0.0,0.0,0.0,6,4,0,0
120,251.18,242.21,1,1,1,1,1,0,1,1,0,1. Urbana,156.0,0.0,0.0,16,132,0.0,0.0,0.0,7,5,0,0
121,227.66,221.54,1,0,1,1,1,1,1,1,1,1. Urbana,201.0,0.0,0.0,23,100,0.0,0.0,0.0,7,4,0,0
122,218.67,203.25,1,0,0,1,1,0,1,1,1,1. Urbana,50.0,0.0,0.0,14,38,0.0,0.0,0.0,5,3,0,0
123,230.34,221.96,0,0,0,1,0,0,1,1,1,1. Urbana,24.0,0.0,0.0,6,37,0.0,0.0,0.0,3,2,0,0
124,230.36,208.54,1,0,1,1,0,0,1,1,1,1. Urbana,108.0,0.0,0.0,9,60,0.0,0.0,0.0,5,4,0,0
125,228.5,221.54,0,0,1,1,1,0,1,1,1,1. Urbana,34.0,0.0,0.0,9,48,0.0,0.0,0.0,5,3,0,0
126,199.94,198.15,1,0,1,1,0,0,1,1,0,1. Urbana,83.0,0.0,0.0,10,47,0.0,0.0,0.0,5,4,0,0
127,273.01,256.09,1,0,0,1,0,1,1,1,0,1. Urbana,36.0,0.0,0.0,10,47,0.0,0.0,0.0,5,3,0,0
128,211.97,194.39,1,0,0,1,1,0,1,1,0,1. Urbana,37.0,0.0,0.0,5,27,0.0,0.0,0.0,5,3,0,0
129,238.64,223.59,0,0,0,1,1,0,1,1,1,1. Urbana,12.0,0.0,0.0,5,22,0.0,0.0,0.0,4,2,0,0
130,287.78,261.34,1,0,1,1,0,1,1,1,1,1. Urbana,28.0,0.0,0.0,7,53,0.0,0.0,0.0,6,4,0,0
131,224.76,206.37,1,0,1,1,1,1,1,1,1,1. Urbana,68.0,0.0,0.0,2,46,0.0,0.0,0.0,7,4,0,0
132,204.62,191.69,1,0,1,1,1,0,1,1,0,1. Urbana,128.0,0.0,0.0,18,88,0.0,0.0,0.0,6,4,0,0
133,243.74,225.8,1,0,1,1,1,1,1,1,1,1. Urbana,216.0,0.0,0.0,22,82,0.0,0.0,0.0,7,4,0,0
134,202.56,194.62,1,0,1,1,1,1,1,1,1,1. Urbana,68.0,0.0,0.0,13,34,0.0,0.0,0.0,7,4,0,0
135,242.09,230.12,1,0,0,1,1,0,1,1,0,1. Urbana,38.0,0.0,0.0,8,36,0.0,0.0,0.0,5,3,0,0
136,203.85,203.15,0,0,0,1,1,0,0,1,0,2. Rural,2.0,0.0,0.0,8,15,0.0,0.0,0.0,3,1,1,1
137,236.4,225.84,1,0,1,1,1,1,1,1,1,1. Urbana,40.0,0.0,0.0,10,42,0.0,0.0,0.0,7,4,0,0
138,212.8,202.96,0,0,1,1,0,0,1,1,0,1. Urbana,64.0,0.0,0.0,11,44,0.0,0.0,0.0,4,3,0,0
139,230.78,226.32,1,1,1,1,1,1,1,1,0,1. Urbana,98.0,0.0,0.0,13,67,0.0,0.0,0.0,8,5,0,0
140,226.98,217.28,0,0,1,1,0,0,1,1,0,1. Urbana,22.0,0.0,0.0,9,32,0.0,0.0,0.0,4,3,0,0
141,230.86,224.87,0,0,1,1,1,1,1,1,1,1. Urbana,14.0,0.0,0.0,11,30,0.0,0.0,0.0,6,3,0,0
142,209.45,202.69,0,0,1,1,1,0,1,1,0,1. Urbana,34.0,0.0,0.0,8,51,0.0,0.0,0.0,5,3,0,0
143,240.99,227.64,1,0,1,1,1,1,1,1,0,1. Urbana,140.0,0.0,0.0,18,81,0.0,0.0,0.0,7,4,0,0
144,239.25,230.28,1,1,1,1,1,1,1,1,1,1. Urbana,139.0,0.0,0.0,19,87,0.0,0.0,0.0,8,5,0,0
145,214.48,196.57,1,0,1,1,0,1,1,1,1,1. Urbana,14.0,0.0,0.0,7,28,0.0,0.0,0.0,6,4,0,0
146,231.57,230.32,1,1,1,1,1,0,1,1,0,1. Urbana,96.0,0.0,0.0,26,81,0.0,0.0,0.0,7,5,0,0
147,203.75,198.28,1,0,0,1,1,0,1,1,1,2. Rural,8.0,0.0,0.0,6,31,0.0,0.0,0.0,5,3,1,1
148,218.67,210.93,1,0,1,1,1,1,1,1,1,1. Urbana,39.0,0.0,0.0,9,51,0.0,0.0,0.0,7,4,0,0
