,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
129,271.47,269.28,0,0,0,1,0,0,1,1,1,2. Rural,29.0,0.0,0.0,6,22,0.0,1
130,262.0,259.97,1,1,1,1,1,0,1,1,0,1. Urbana,62.0,0.0,0.0,10,53,0.0,0
131,264.4,251.52,1,0,1,1,1,0,1,1,0,1. Urbana,104.0,0.0,0.0,30,104,0.0,0
132,251.76,254.09,1,0,0,1,1,0,1,1,0,2. Rural,37.0,0.0,0.0,6,20,0.0,1
133,271.19,268.64,0,0,1,1,1,0,1,1,1,1. Urbana,63.0,0.0,0.0,13,44,0.0,0
134,279.88,264.4,0,0,1,1,0,0,1,1,0,2. Rural,43.0,0.0,0.0,5,19,0.0,1
135,242.28,265.24,0,0,0,1,0,1,1,1,0,2. Rural,41.0,0.0,0.0,5,15,0.0,1
136,254.15,235.93,0,0,0,1,0,0,0,1,0,2. Rural,48.0,0.0,0.0,12,29,0.0,1
137,273.71,281.22,0,1,1,0,0,0,1,1,1,1. Urbana,45.0,0.0,0.0,16,48,0.0,0
138,268.95,244.27,0,0,1,1,0,0,1,1,0,2. Rural,36.0,0.0,0.0,6,24,0.0,1
139,291.46,291.7,0,0,0,1,0,0,1,1,0,2. Rural,32.0,0.0,0.0,6,27,0.0,1
140,276.6,286.67,0,0,1,1,1,0,1,1,0,1. Urbana,93.0,0.0,0.0,10,52,0.0,0
141,293.73,287.37,1,0,1,1,0,0,1,1,1,1. Urbana,106.0,0.0,0.0,12,56,0.0,0
142,267.18,265.06,0,0,1,1,1,0,1,1,0,2. Rural,32.0,0.0,0.0,5,29,0.0,1
143,253.16,246.1,0,0,0,1,0,0,1,1,0,2. Rural,40.0,0.0,0.0,6,25,0.0,1
144,269.89,279.46,0,0,0,1,0,0,1,1,0,2. Rural,35.0,0.0,0.0,6,25,0.0,1
145,256.86,263.44,1,0,1,1,0,1,1,1,1,1. Urbana,142.0,0.0,0.0,10,46,0.0,0
146,248.03,232.37,0,0,0,1,0,0,1,1,0,2. Rural,29.0,0.0,0.0,5,24,0.0,1
